Course Number	Course Name	Students Name	Student ID	Email	Address
CS 3363	Organization of Programming Languages	River Vickery, Seth	A205820	srvickery@okstate.edu	7874 Wellington Ave.Oklahoma City, OK 73169
CS 4513	Introduction to Numerical Analysis	Alena Goode, Tiera	A203183	tagoode@okstate.edu	50 Race StreetSpencer, OK 73084
CS 3030	Industrial Practice in Computer Science	Barrett Bowser, Ronaldo	A892726	rbbowser@okstate.edu	24 Wagon St.Oklahoma City, OK 73130
CS 3513	Numerical Methods for Digital Computers	Jamia Maldonado, Neha	A710369	njmaldonado@okstate.edu	9936 E. Elizabeth Ave.Edmond, OK 73012
CS 4323	Design and Implementation of Operating Systems I	Kaufman, Shyanne	A806992	skaufman@okstate.edu	744 Sunset StreetOklahoma City, OK 73119
CS 4883	Social Issues in Computing	Julia Mulligan, Madalynn	A755513	mjmulligan@okstate.edu	752 Essex Ave.Oklahoma City, OK 73114
CS 4623	Introduction to Cyber Physical Systems	Pemberton, Shayne	A211935	spemberton@okstate.edu	58 West Dr.Oklahoma City, OK 73111
CS 4570	Special Topics in Computing	Llamas, Dwayne	A569582	dllamas@okstate.edu	7297 Myers Ave.Oklahoma City, OK 73151
CS 4373	Agile Software Development	Cinthia Brien, Annette	A696161	acbrien@okstate.edu	8732 Beechwood Ave.Edmond, OK 73025
CS 3363	Organization of Programming Languages	Keira Noble, Kailee	A839056	kknoble@okstate.edu	73 Sage Dr.Bethany, OK 73008
MATH 3013	Linear Algebra (A)	Mitchell Felix, Conner	A712834	cmfelix@okstate.edu	914 S. Newbridge Ave.Oklahoma City, OK 73103
MATH 3013	Linear Algebra (A)	Nyasia Lloyd, Blake	A903981	bnlloyd@okstate.edu	8248 Park LaneOklahoma City, OK 73102
CS 4993	Senior Honors Project	Everett, Noah	A114674	neverett@okstate.edu	786 Joy Ridge St.Oklahoma City, OK 73145
CS 4143	Computer Graphics	McClanahan, Gordon	A575046	gmcclanahan@okstate.edu	9433 School Dr.Oklahoma City, OK 73132
CS 4983	Senior Capstone Project	Kyree Woodall, Maxwell	A565428	mkwoodall@okstate.edu	620 West Peg Shop StreetOklahoma City, OK 73128
CS 4883	Social Issues in Computing	Gwendolyn Hurt, Amaiya	A635296	aghurt@okstate.edu	922 Country St.Oklahoma City, OK 73117
CS 3613	Theoretical Foundations of Computing	Beverly, Johnson	A286756	jbeverly@okstate.edu	491 Laurel Ave.Oklahoma City, OK 73121
CS 2433	C/C++ Programming	Easton, Helena	A654423	heaston@okstate.edu	739 Smoky Hollow AvenueHarrah, OK 73045
CS 4743	Extended Reality	Slattery, Jaylene	A494369	jslattery@okstate.edu	982 Border CourtOklahoma City, OK 73139
CS 3513	Numerical Methods for Digital Computers	Kevon Workman, Dashawn	A501914	dkworkman@okstate.edu	320 Vale St.Edmond, OK 73013
CS 3613	Theoretical Foundations of Computing	Zain Kasper, Coy	A579618	czkasper@okstate.edu	741 Fairway Dr.Oklahoma City, OK 73149
CS 4153	Mobile Applications Development	Akers, Lizbeth	A355607	lakers@okstate.edu	4 Sherwood Rd.Choctaw, OK 73020
CS 4283	Computer Networks	Ford, Korbin	A471799	kford@okstate.edu	35 Smoky Hollow DriveOklahoma City, OK 73107
CS 4183	Video Game Design	Black, George	A702730	gblack@okstate.edu	81 Bridgeton CourtEdmond, OK 73034
CS 4743	Extended Reality	Cornwell, Brianne	A792776	bcornwell@okstate.edu	5 West Nut Swamp St.Oklahoma City, OK 73127
CS 4183	Video Game Design	Falcon, Lyric	A153135	lfalcon@okstate.edu	911 Gulf DriveEdmond, OK 73003
CS 4743	Extended Reality	Francisco, Jude	A794754	jfrancisco@okstate.edu	7452 Glenridge AvenueOklahoma City, OK 73135
CS 4433	Introduction to Database Systems	Ordonez, Alecia	A895302	aordonez@okstate.edu	8 Manchester StreetOklahoma City, OK 73112
CS 2433	C/C++ Programming	Cone, Sequoia	A997381	scone@okstate.edu	8718C Adams RoadLuther, OK 73054
CS 3443	Computer Systems	Stephens, Saira	A817633	sstephens@okstate.edu	7889 Wild Horse Ave.Oklahoma City, OK 73150
MATH 2163	Calculus III	Longoria, Dorien	A766894	dlongoria@okstate.edu	2 10th CourtOklahoma City, OK 73115
CS 3353	Data Structures and Algorithm Analysis I	Kauffman, Susanna	A272610	skauffman@okstate.edu	9 South Bedford St.Oklahoma City, OK 73141
CS 3030	Industrial Practice in Computer Science	Wilburn, Jade	A122521	jwilburn@okstate.edu	9805 North Newport St.Oklahoma City, OK 73105
CS 4283	Computer Networks	Loren Dix, Dakotah	A610440	dldix@okstate.edu	8230 Harvey Ave.Oklahoma City, OK 73173
CS 3030	Industrial Practice in Computer Science	Karley Gilliam, Myah	A325749	mkgilliam@okstate.edu	876 Cherry Hill St.Oklahoma City, OK 73134
MATH 3013	Linear Algebra (A)	Chauncey Forman, Connor	A694801	ccforman@okstate.edu	838 Edgewater CourtOklahoma City, OK 73106
CS 4513	Introduction to Numerical Analysis	Trey Stone, Elvis	A146961	etstone@okstate.edu	7657 E. Inverness St.Oklahoma City, OK 73179
MATH 2163	Calculus III	Sade March, Kristyn	A417301	ksmarch@okstate.edu	37 Vale Ave.Oklahoma City, OK 73131
CS 3353	Data Structures and Algorithm Analysis I	Seth Fontaine, Kadin	A600769	ksfontaine@okstate.edu	8348 Jefferson StreetOklahoma City, OK 73162
CS 4273	Software Engineering	Pappas, Dustyn	A783734	dpappas@okstate.edu	50 Lower River StreetOklahoma City, OK 73116
CS 4433	Introduction to Database Systems	Keanu Ragsdale, Miguelangel	A523268	mkragsdale@okstate.edu	643 Grove DriveOklahoma City, OK 73108
CS 4983	Senior Capstone Project	Erb, Lana	A308295	lerb@okstate.edu	6 Southampton StreetOklahoma City, OK 73142
CS 4623	Introduction to Cyber Physical Systems	Brendon Shanks, Jarret	A421845	jbshanks@okstate.edu	7963 Bank StreetOklahoma City, OK 73118
CS 4513	Introduction to Numerical Analysis	Smart, Jaquez	A389006	jsmart@okstate.edu	18 Paris Hill Ave.Oklahoma City, OK 73109
MATH 3013	Linear Algebra (A)	Choate, Alena	A225218	achoate@okstate.edu	8174 Euclid DriveOklahoma City, OK 73122
CS 4570	Special Topics in Computing	Santino Green, Sonny	A169035	ssgreen@okstate.edu	39 High Noon St.Oklahoma City, OK 73110
CS 3443	Computer Systems	Lumpkin, Arden	A947497	alumpkin@okstate.edu	7953 South Greystone St.Oklahoma City, OK 73104
CS 4883	Social Issues in Computing	Aguayo, Terri	A631981	taguayo@okstate.edu	8107B Blue Spring DriveOklahoma City, OK 73129
CS 4793	Artificial Intelligence I	Anais Thomson, Myra	A279961	mathomson@okstate.edu	9426 Clinton DriveArcadia, OK 73007
CS 4183	Video Game Design	Cheney, Joanne	A491326	jcheney@okstate.edu	8317 Bedford Rd.Jones, OK 73049
CS 4283	Computer Networks	Betts, Houston	A643274	hbetts@okstate.edu	855 Oak Meadow St.Oklahoma City, OK 73120
CS 3653	Discrete Mathematics for Computer Science	Maia Berg, Evelin	A222663	emberg@okstate.edu	417 Buckingham AvenueOklahoma City, OK 73159
CS 4173	Video Game Development	Pritchett, Garett	A433941	gpritchett@okstate.edu	7557 Wilson St.Bethany, OK 73008
CS 4183	Video Game Design	Edgar Chatman, Ashton	A385146	aechatman@okstate.edu	7633 Grove Ave.Edmond, OK 73025
CS 3443	Computer Systems	Haylee Williams, Kelsea	A547428	khwilliams@okstate.edu	241 Oakwood Rd.Edmond, OK 73003
CS 3653	Discrete Mathematics for Computer Science	Ridenour, Yesenia	A661985	yridenour@okstate.edu	7828 Cambridge StreetOklahoma City, OK 73151
CS 3353	Data Structures and Algorithm Analysis I	Bass, Josephine	A511583	jbass@okstate.edu	9207 Shirley St.Oklahoma City, OK 73112
MATH 2163	Calculus III	Melvin, Will	A455382	wmelvin@okstate.edu	8556 Cleveland DriveOklahoma City, OK 73150
CS 4783	Machine Learning	Valenzuela, Treasure	A143647	tvalenzuela@okstate.edu	7316 N. Shadow Brook Ave.Oklahoma City, OK 73105
CS 3443	Computer Systems	Ezequiel Knoll, Stetson	A755749	seknoll@okstate.edu	712 Lincoln Dr.Oklahoma City, OK 73116
CS 4570	Special Topics in Computing	Plunkett, Caiden	A998920	cplunkett@okstate.edu	9698 Cross St.Choctaw, OK 73020
CS 4993	Senior Honors Project	Kyle Hairston, Drew	A496755	dkhairston@okstate.edu	31 Lakeshore Dr.Oklahoma City, OK 73141
CS 3513	Numerical Methods for Digital Computers	Heaven Whitmore, Katelynn	A443632	khwhitmore@okstate.edu	398 Paris Hill Dr.Oklahoma City, OK 73145
CS 3513	Numerical Methods for Digital Computers	Aidan Lawrence, Kai	A232199	kalawrence@okstate.edu	1 Griffin CourtOklahoma City, OK 73104
CS 4153	Mobile Applications Development	Epperson, Anna	A395447	aepperson@okstate.edu	271 Thomas Ave.Oklahoma City, OK 73142
CS 4143	Computer Graphics	Kacey Harper, Ivana	A878125	ikharper@okstate.edu	23 Lake Forest DriveOklahoma City, OK 73102
CS 2433	C/C++ Programming	Greene, Cristian	A421705	cgreene@okstate.edu	9009 Birchwood St.Spencer, OK 73084
CS 4883	Social Issues in Computing	Strange, Jaycob	A243735	jstrange@okstate.edu	11 Valley Farms Ave.Oklahoma City, OK 73139
CS 4523	Cloud Computing and Distributed Systems	McMahan, Nathalie	A314233	nmcmahan@okstate.edu	7002 Arch Ave.Edmond, OK 73013
CS 3613	Theoretical Foundations of Computing	Manley, Ronaldo	A219132	rmanley@okstate.edu	896 West Cedar Swamp Ave.Oklahoma City, OK 73128
CS 3613	Theoretical Foundations of Computing	Anton Irizarry, Roland	A215726	rairizarry@okstate.edu	69 Valley St.Harrah, OK 73045
CS 3570	Special Problems in Computer Science	Tammy Saldana, Tasia	A823040	ttsaldana@okstate.edu	272 Fifth StreetOklahoma City, OK 73103
CS 3653	Discrete Mathematics for Computer Science	Jenna Olvera, Abril	A774685	ajolvera@okstate.edu	277 Brickell St.Oklahoma City, OK 73119
CS 4743	Extended Reality	McCoy, Lesli	A679287	lmccoy@okstate.edu	148 South Galvin AvenueOklahoma City, OK 73130
CS 3443	Computer Systems	Malaysia Grier, Hollie	A416721	hmgrier@okstate.edu	566 Rockaway St.Oklahoma City, OK 73129
MATH 3013	Linear Algebra (A)	Christman, Aiden	A545825	achristman@okstate.edu	85 Marlborough St.Oklahoma City, OK 73114
CS 3513	Numerical Methods for Digital Computers	Wetzel, Rick	A542240	rwetzel@okstate.edu	349 Wild Rose StreetOklahoma City, OK 73107
CS 4983	Senior Capstone Project	Linder, Pierre	A496703	plinder@okstate.edu	8421 Honey Creek St.Oklahoma City, OK 73173
CS 3570	Special Problems in Computer Science	Kalyn Peek, Rebeca	A123081	rkpeek@okstate.edu	82 East Mill St.Oklahoma City, OK 73110
CS 3570	Special Problems in Computer Science	Emely Carlin, Guadalupe	A878348	gecarlin@okstate.edu	9842 West Cardinal Ave.Oklahoma City, OK 73111
CS 4793	Artificial Intelligence I	Benjamin, Manuel	A404396	mbenjamin@okstate.edu	869 Winchester StreetEdmond, OK 73034
CS 4373	Agile Software Development	Esther Falk, Annalisa	A278328	aefalk@okstate.edu	6 Woodland Ave.Oklahoma City, OK 73179
CS 4323	Design and Implementation of Operating Systems I	Sommer, Sheila	A446729	ssommer@okstate.edu	61 Vernon DriveOklahoma City, OK 73127
CS 3363	Organization of Programming Languages	Bishop Mcgrew, Caleb	A129378	cbmcgrew@okstate.edu	661 South Lookout StreetOklahoma City, OK 73162
CS 3030	Industrial Practice in Computer Science	Streeter, Oliver	A561073	ostreeter@okstate.edu	1 Meadowbrook StreetOklahoma City, OK 73131
CS 3570	Special Problems in Computer Science	Harms, Blair	A869208	bharms@okstate.edu	98 River Ave.Arcadia, OK 73007
CS 4783	Machine Learning	Angel Cabral, Felipe	A673640	facabral@okstate.edu	7898 North Cactus St.Oklahoma City, OK 73134
CS 4623	Introduction to Cyber Physical Systems	Jesenia Newby, Willow	A616057	wjnewby@okstate.edu	647 Pennsylvania St.Edmond, OK 73012
CS 4433	Introduction to Database Systems	Cristopher Grimm, Trevor	A596823	tcgrimm@okstate.edu	8223 Galvin StreetOklahoma City, OK 73108
CS 3353	Data Structures and Algorithm Analysis I	Seward, Matthew	A466623	mseward@okstate.edu	61 Goldfield St.Oklahoma City, OK 73122
CS 3513	Numerical Methods for Digital Computers	Sonja Lugo, Destiney	A629019	dslugo@okstate.edu	9919 Yukon CircleOklahoma City, OK 73121
CS 4513	Introduction to Numerical Analysis	George Flannery, Rodolfo	A207883	rgflannery@okstate.edu	8392 Pineknoll Rd.Oklahoma City, OK 73159
CS 3030	Industrial Practice in Computer Science	Phelan, Sarina	A125233	sphelan@okstate.edu	778 Meadowbrook Ave.Oklahoma City, OK 73169
CS 4273	Software Engineering	Kinsey, Garett	A972686	gkinsey@okstate.edu	235 Trout St.Oklahoma City, OK 73120
CS 3443	Computer Systems	Melvin, Jaidyn	A571722	jmelvin@okstate.edu	9979B University RoadOklahoma City, OK 73132
CS 3353	Data Structures and Algorithm Analysis I	Davion Doan, Kieran	A540992	kddoan@okstate.edu	7267 St Louis CourtOklahoma City, OK 73117
CS 4153	Mobile Applications Development	Lexis Busby, Shelly	A979964	slbusby@okstate.edu	98 W. Walt Whitman StreetOklahoma City, OK 73106
